"===================================================================================================="
"27/11/2020 11:16:48"
"python calibrate.py --seed tu0 --country GER --area TU --rollouts 96 --ninit 20 --niters 120 --cpu_count 24 --load /u/hkremer/covid19/simulator/sim/logs/calibration_tu0_state.pk"
"===================================================================================================="
"Downsampling :                    10"
"Simulation population:            9054"
"Simulation population (unscaled): 90546"
"Area population :                 227331"
"Initial seed counts :             {'expo': 30, 'isym_posi': 9, 'iasy': 6}"
"Target cases per age group at t=0:   9.0 [0.0, 1.0, 2.0, 5.0, 1.0, 0.0]"
"Target cases per age group at t=T:   491.0 [4.0, 6.0, 128.0, 196.0, 96.0, 61.0]"
"Daily test capacity in sim.:         72"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 15.0], 'beta_household': [0.0, 15.0], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-12 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 52"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  57","   -408.1872","-1223037.6140"," 2158"," 13.3692","  1.7158","  0.1048","  0.0000"
"  58","   -408.1872"," -62918.5138"," -352","  2.2777"," 10.6399","  0.3245","  0.0000"
"  59","   -408.1872"," -87512.7683"," -412","  1.0512"," 12.3039","  0.9595","  0.0000"
"  60","   -408.1872","-157042.8265","  787","  7.7765"," 13.6077","  0.0334","  0.0000"
"  61","   -408.1872"," -91532.2781"," -420","  0.6763","  7.5869","  0.3579","  0.0000"
"  62","   -408.1872","-191298.2494","  565"," 13.8735"," 13.8742","  0.6618","  0.0000"
"  63","   -408.1872"," -79460.0808","  582","  7.1435"," 10.2690","  0.0262","  0.0000"
"  64","   -408.1872","  -7405.0827"," -143","  7.4594","  4.1795","  0.8431","  0.0000"
"  65","   -408.1872","  -2125.6433","  -10","  9.4874","  4.8545","  0.8697","  0.0000"
"  66","   -408.1872"," -77643.4569"," -386","  3.5923","  0.1637","  0.6358","  0.0000"
"  67","   -408.1872"," -67028.7419"," -360","  1.9856","  9.1748","  0.1054","  0.0000"
"  68","   -408.1872","-1388546.5969"," 2259"," 14.1812","  8.1930","  0.0000","  0.0000"
"  69","   -408.1872","-109398.0795","  689","  8.0646","  1.6387","  0.0500","  0.0000"
"  70","   -408.1872"," -54169.9399"," -330","  3.3270","  2.5661","  0.5948","  0.0000"
"  71","   -408.1872","-110803.9577","  388"," 14.0225","  5.0211","  0.8077","  0.0000"
"  72","   -408.1872"," -30383.0713"," -259","  5.0075","  9.3044","  0.8133","  0.0000"
"  73","   -408.1872","  -1672.6370","   32","  5.2542"," 13.6931","  0.0961","  0.0000"
"  74","   -408.1872","  -1186.9012","  -42"," 10.2734","  1.0650","  0.9359","  0.0000"
"  75","   -408.1872","  -4287.6028","   33","  9.7998","  4.4775","  0.7654","  0.0000"
"  76","   -408.1872","  -5177.0475"," -124","  7.8870","  3.7743","  0.9297","  0.0000"
"  77","   -408.1872"," -83181.3378","  350"," 12.3553"," 12.8856","  0.6840","  0.0000"
"  78","   -408.1872"," -72155.8700"," -378","  2.0611","  9.4915","  0.7557","  0.0000"
"  79","   -408.1872"," -65733.8871"," -362","  2.6707","  3.9599","  0.8147","  0.0000"
"  80","   -408.1872","-546907.3449"," 1466","  9.4026","  4.0281","  0.0000","  0.0000"
"  81","   -408.1872"," -71946.9125"," -375","  1.8736","  6.2434","  0.3803","  0.0000"
"  82","   -408.1872","-881329.3204"," 1795"," 10.9010","  5.8694","  0.0512","  0.0000"
"  83","   -408.1872"," -77747.7403"," -391","  1.6233"," 11.3518","  0.8516","  0.0000"
"  84","   -408.1872","-126289.1728","  435"," 13.2406"," 11.1325","  0.7132","  0.0000"
"  85","   -408.1872","  -4616.1709","  147","  6.5978","  2.0088","  0.1586","  0.0000"
"  86","   -408.1872","  -2095.9828","   87","  7.9451","  0.9233","  0.3280","  0.0000"
"  87","   -408.1872"," -49978.6956"," -319","  3.4536","  9.1837","  0.6008","  0.0000"
"  88","   -408.1872"," -70637.2566"," -374","  2.0965"," 10.7054","  0.5795","  0.0000"
"  89","   -408.1872"," -54394.0779"," -326","  2.7468","  9.2533","  0.2984","  0.0000"
"  90","   -408.1872"," -69238.6668"," -371","  2.3601"," 13.7025","  0.7477","  0.0000"
"  91","   -408.1872","-729551.3066"," 1568"," 13.0674","  1.9072","  0.2014","  0.0000"
"  92","   -408.1872"," -70974.3926","  303"," 13.8705","  1.7030","  0.8113","  0.0000"
"  93","   -408.1872"," -39729.6237"," -275","  3.7808","  1.9197","  0.3091","  0.0000"
"  94","   -408.1872"," -15781.8920"," -195","  6.2373"," 11.2826","  0.7994","  0.0000"
"  95","   -408.1872"," -30875.7034"," -260","  5.8779","  1.3796","  0.9871","  0.0000"
"  96","   -408.1872"," -86359.2969"," -409","  1.1191","  9.3365","  0.4451","  0.0000"
"  97","   -408.1872","-646829.0291"," 1349"," 13.0331"," 10.4155","  0.3036","  0.0000"
"  98","   -408.1872"," -45781.9900"," -309","  4.0667","  4.0154","  0.8653","  0.0000"
"  99","   -408.1872"," -36139.0342","  184"," 12.1890","  5.8574","  0.9981","  0.0000"
" 100","   -408.1872","-100322.4583"," -438","  0.0000","  7.3579","  0.1788","  0.0000"
" 101","   -408.1872"," -78468.1760"," -390","  1.3974"," 13.6260","  0.2037","  0.0000"
" 102","   -408.1872","-178818.5566","  576"," 13.0524","  9.7716","  0.5707","  0.0000"
" 103","   -408.1872"," -26678.0584"," -245","  5.5768","  4.1056","  0.9196","  0.0000"
" 104","   -408.1872","-365709.6685"," 1007"," 11.7474"," 11.5636","  0.3086","  0.0000"
" 105","   -408.1872","-467485.5687"," 1312"," 10.0491","  4.2164","  0.0824","  0.0000"
" 106","   -408.1872","-454263.7220"," 1274"," 11.1450","  1.4461","  0.1467","  0.0000"
" 107","   -408.1872","  -4245.2062","   41","  9.1154","  9.5862","  0.6908","  0.0000"
" 108","   -408.1872","  -2569.9199","  -90","  7.9323"," 13.6202","  0.8387","  0.0000"
" 109","   -408.1872"," -72302.9175"," -378","  2.1168","  5.7124","  0.9214","  0.0000"
" 110","   -408.1872"," -31559.6848","  168"," 12.0308","  8.0934","  0.9629","  0.0000"
" 111","   -408.1872"," -30164.8714"," -259","  5.1936"," 10.9408","  0.9729","  0.0000"
" 112","   -408.1872","-541152.6746"," 1485","  9.7694","  1.8735","  0.0000","  0.0000"
" 113","   -408.1872"," -72702.1072"," -379","  2.1104","  3.0242","  0.8991","  0.0000"
" 114","   -408.1872","-143818.3986","  731","  8.1081"," 13.9284","  0.0929","  0.0000"
" 115","   -408.1872"," -49829.4377"," -317","  3.4372","  5.2250","  0.5161","  0.0000"
" 116","   -408.1872"," -10933.0320","  -95","  4.1359","  7.4107","  0.0085","  0.0000"
" 117","   -408.1872","  -9376.1215"," -159","  7.6049","  2.6445","  0.9946","  0.0000"
" 118","   -408.1872"," -19182.3854"," -214","  6.0620","  6.7429","  0.9968","  0.0000"
" 119","   -408.1872"," -61761.4874"," -341","  2.2743","  1.8916","  0.0384","  0.0000"
