"===================================================================================================="
"03/07/2020 01:19:12"
"python calibrate.py --seed tr0 --country GER --area TR --rollouts 96 --ninit 20 --niters 80 --load /lustre/home/hkremer/covid19-model/calibration/simulator/sim/logs/calibration_tr0_state.pk"
"===================================================================================================="
"Downsampling :                    5"
"Simulation population:            14506"
"Simulation population (unscaled): 72731"
"Area population :                 72731"
"Initial seed counts :             {'expo': 33, 'isym_posi': 10, 'iasy': 7}"
"Target cases per age group at t=0:   10.0 [0.0, 0.0, 1.0, 5.0, 2.0, 2.0]"
"Target cases per age group at t=T:   1118.0 [8.0, 22.0, 188.0, 409.0, 274.0, 217.0]"
"Daily test capacity in sim.:         103"
"Parameters : 3"
"Parameter bounds: {'beta_site': [0.0, 1.5], 'beta_household': [0.0, 1.5], 'p_stay_home': [0.0, 1.0]}"
"Simulation starts at : 2020-03-13 00:00:00"
"             ends at : 2020-05-05 00:00:00"
"Lockdown   starts at : 2020-03-23 00:00:00"
"             ends at : 2020-05-03 00:00:00"
"Cases compared until : 2020-05-03 00:00:00"
"            for days : 51"
""
"iter","    best obj"," current obj"," diff","  b/site","b/househ","  p_home","walltime"
"  52"," -10013.4965","-532396.5913","-1027","  0.1100","  0.5979","  0.6785","  9.0044"
"  53"," -10013.4965","-1230841.3627"," 1895","  1.2813","  1.1061","  0.1709","311.1651"
"  54"," -10013.4965"," -41423.2195","  323","  1.4774","  0.6530","  0.7695"," 78.1334"
"  55"," -10013.4965","-115500.3280"," -297","  0.7159","  0.3755","  0.5683"," 47.1544"
"  56"," -10013.4965","-337134.1956"," -828","  0.7343","  0.1603","  0.9657"," 21.0130"
"  57"," -10013.4965","-1486061.7837"," 2631","  1.2433","  0.6075","  0.3144","263.9265"
"  58"," -10013.4965","-1251190.3479"," 2245","  1.1051","  0.4601","  0.1553","291.5994"
"  59"," -10013.4965"," -52505.8051"," -180","  1.2988","  0.1322","  0.6884"," 56.0848"
"  60"," -10013.4965","-484923.6564"," -984","  0.1947","  1.4228","  0.7216"," 11.5301"
"  61"," -10013.4965","-1360710.8078"," 2561","  1.1413","  1.3385","  0.4694","172.1864"
"  62"," -10013.4965","-1690648.2396"," 2764","  1.5000","  0.7321","  0.4271","247.3235"
"  63"," -10013.4965","-556732.0365","-1049","  0.0423","  0.8861","  0.9009","  8.6819"
"  64"," -10013.4965","-1120486.4567"," 1824","  1.3867","  0.3812","  0.0914","318.0409"
"  65"," -10013.4965","-1540604.4595"," 2501","  1.1817","  1.5000","  0.3019","274.0590"
"  66"," -10013.4965","-997966.5641"," 1896","  1.4766","  1.3727","  0.6234","148.2918"
"  67"," -10013.4965","-1195355.0850"," 2445","  0.7619","  1.2990","  0.0991","277.7138"
"  68"," -10013.4965"," -62305.0853"," -407","  1.1622","  1.0445","  1.0000"," 43.4339"
"  69"," -10013.4965","-508590.0190","-1004","  0.1302","  1.3554","  0.4966"," 10.5416"
"  70"," -10013.4965","-759945.6979"," 2198","  0.6556","  0.5335","  0.0929","216.5256"
"  71"," -10013.4965","-427331.2321"," -933","  0.3289","  1.4169","  0.9395"," 15.0648"
"  72"," -10013.4965","-464422.7645"," -962","  0.2554","  0.7494","  0.7046"," 13.5740"
"  73"," -10013.4965","-397767.5162"," -898","  0.3624","  1.1114","  0.7778"," 18.4203"
"  74"," -10013.4965","-902182.8472"," 2336","  0.7386","  0.9920","  0.2316","198.0165"
"  75"," -10013.4965","-422737.0803"," -895","  0.2411","  0.9066","  0.4321"," 16.6399"
"  76"," -10013.4965","-1274194.1646"," 1928","  1.5000","  0.4757","  0.2092","330.6021"
"  77"," -10013.4965","-1158427.5427"," 1841","  1.3262","  0.4894","  0.1044","320.1475"
"  78"," -10013.4965","-1223248.2288"," 2061","  0.9731","  1.0740","  0.0881","305.2854"
"  79"," -10013.4965","-694538.2399"," 2127","  0.5735","  0.7305","  0.0467","208.1854"
